Data,Count
?2023年1月,1
2023年1月,246
2023年2月,551
2023年3月,284
2023年5月,358
2023年6月,238
2023年7月,139
2023年9月,265
2023年10月,290
2024年1月,153
2024年4月,54
2023年4月,148
2024年2月,117
2024年3月,137
2023年12月,151
2023年8月,101
2023年11月,273
2022年4月,114
2022年12月,295
2022年11月,131
2022年6月,815
2022年5月,110
2022年7月,540
2022年8月,425
2022年9月,258
2022年10月,265
2022年3月,66
2019年5月,166
2021年10月,168
2019年3月,96
2019年4月,181
2020年1月,46
2021年3月,34
2019年6月,145
2019年7月,116
2019年8月,53
2019年9月,72
2019年10月,57
2019年11月,57
2019年12月,77
2020年2月,32
2020年3月,22
2021年6月,6
2021年2月,178
2022年2月,88
2019年1月,2
2020年9月,12
2020年4月,25
2020年5月,19
2020年11月,171
2020年10月,7
2020年12月,87
2021年4月,14
2021年1月,42
2021年5月,13
2021年7月,16
2021年8月,93
2020年8月,6
2019年2月,1
2020年7月,12
2020年6月,14
2022年1月,42
2021年9月,153
2021年11月,187
2021年12月,29
